_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
92039,NONE,,NO,NO,YES,YES,YES,0 indoor parking spots and 15 outdoor parking spots,8.0,62.0,"JUL 30, 2017",,,,EVERYTHING,REPLACED,NO,NO,Green Bin / Organics,YES,NO,SAME AREA AS GARBAGE,REPLACED,2017.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,62.0,37.0,2.0,7.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M5R,,YES,FIRM CAPITAL,PRIVATE,SAME AREA AS GARBAGE ,4153199.0,NO,YES,NO,25  BEDFORD RD ,YES,NO,2005.0,YES,UNAVAILABLE,11,SINGLE PANE,2004.0,2011.0,2017.0,,,,,,,,
92040,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,30.0,"JAN 5, 2015",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,EAST SIDE,REPLACED,2001.0,HOT WATER,NO,YES,NO,NO,YES,8:00 A.M. - 9:00 P.M.,BASEMENT,YES,0.0,10.0,1.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M4S,,NO,STAR PROPERTY MANAGEMENT LTD.,PRIVATE,EAST SIDE,4153770.0,NO,YES,NO,44  BALLIOL ST ,NO,,,NO,UNAVAILABLE,12,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
92041,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,0 indoor parking spots and 20 outdoor parking spots,3.0,27.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,1990.0,ELECTRIC,YES,YES,NO,NO,YES,8AM - 11PM,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,"Underground Garage , Carport",M4P,,YES,MINTO PROPERTIES,PRIVATE,BETWEEN 2 BUILDINGS,4153853.0,NO,NO,NO,25  SHERWOOD AVE ,YES,YES,1990.0,,UNAVAILABLE,15,DOUBLE PANE,1930.0,,2017.0,,,,,,,,
92042,NONE,,YES,YES,YES,YES,NO,10 indoor parking spots and 0 outdoor parking spots,3.0,18.0,"SEP 30, 2010",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,GARAGE,REPLACED,2010.0,HOT WATER,YES,YES,NO,NO,YES,8 TO 8,BASEMENT,YES,0.0,0.0,1.0,4.0,YES,NO,Underground Garage,M4P,NOT TO BE THREAT OR NUISSANCE,YES,6716741 CANADA INC,PRIVATE,GARAGE,4153856.0,NO,YES,NO,172  SHERWOOD AVE ,YES,YES,1965.0,YES,UNAVAILABLE,15,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
92043,NONE,,YES,YES,YES,YES,YES,20 indoor parking spots and 0 outdoor parking spots,11.0,64.0,"MAR 31, 2017",,,,CABS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,GARAGE,ORIGINAL,1969.0,ELECTRIC,YES,NO,NO,YES,YES,24/7,BASEMENT,YES,0.0,0.0,1.0,10.0,YES,NO,"Underground Garage , Garage accessible thru buildg",M5R,,NO,HOLLYBURN PROPERTIES,PRIVATE,GARAGE,4153219.0,NO,YES,NO,250  ST GEORGE ST ,YES,YES,1969.0,YES,PAID,11,DOUBLE PANE,1969.0,2013.0,2017.0,,,,,,,,
92044,NONE,,YES,NO,YES,YES,NO,28 indoor parking spots and 0 outdoor parking spots,7.0,62.0,"OCT 15, 2014",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,EXTERIOR SOUTH,REPLACED,1996.0,HOT WATER,YES,YES,NO,NO,YES,8 AM - 10 PM,BASEMENT,NO,0.0,0.0,1.0,6.0,NO,YES,Underground Garage,M5R,NO DOGS,NO,,PRIVATE,EXTERIOR,4153223.0,NO,YES,NO,161  ST GEORGE ST ,NO,,,YES,UNAVAILABLE,11,DOUBLE PANE,1960.0,2014.0,2017.0,,,,,,,,
92045,NONE,,YES,YES,YES,YES,YES,Not Available,9.0,52.0,"OCT 2, 2016",,,,CAB ,REPLACED,,NO,Green Bin / Organics,YES,NO,OUT BACK ,REPLACED,1986.0,HOT WATER,NO,YES,NO,NO,YES,24/7,MAIN FLOOR ,YES,0.0,0.0,1.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5R,,YES,HOLLYBURN PROPERTIES LTD,PRIVATE,OUT BACK,4153224.0,NO,YES,NO,169  ST GEORGE ST ,YES,YES,1956.0,YES,PAID,11,DOUBLE PANE,1956.0,1999.0,2017.0,,,,,,,,
92046,NONE,"Indoor recreation room , Child play area",YES,YES,YES,YES,YES,Not Available,16.0,128.0,"DEC 31, 2014",,,,FULL REPLACEMENT - GAL GALAXY ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1980.0,HOT WATER,YES,YES,YES,YES,YES,TBD,BASEMENT LEVEL,NO,1.0,15.0,2.0,15.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5R,,YES,,TCHC,REAR OF BUILDING,4153229.0,NO,NO,NO,18  DAVENPORT RD ,YES,YES,1980.0,NO,BOTH,11,DOUBLE PANE,1980.0,2012.0,2017.0,,,,,,,,
92047,NONE,,YES,YES,YES,YES,YES,6 indoor parking spots and 0 outdoor parking spots,15.0,85.0,"OCT 20, 2014",,,,COMPLETE MODERNIZATION,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1967.0,ELECTRIC,YES,YES,YES,YES,YES,8AM-10PM,GROUND FLOOR,YES,0.0,0.0,2.0,10.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5R,,NO,WESTDALE PROPERTIES,PRIVATE,IN THE OUTDOOR PARKING LOT,4153236.0,NO,NO,NO,280  ST GEORGE ST ,YES,YES,1967.0,YES,PAID,11,DOUBLE PANE,1967.0,2011.0,2017.0,,,,,,,,
92048,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,48.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,1999.0,HOT WATER,NO,YES,NO,NO,YES,24 ,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,,M4N,,YES,,PRIVATE,FRONT,4153858.0,NO,YES,NO,2707  YONGE ST ,NO,,,,UNAVAILABLE,15,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92049,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,32.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,UNLIMITED,,NO,0.0,0.0,0.0,4.0,YES,YES,,M4N,,YES,JB APARTMENT HOLDINGS,PRIVATE,,4153862.0,NO,YES,NO,2867  YONGE ST ,YES,YES,2010.0,,UNAVAILABLE,15,DOUBLE PANE,1928.0,,2017.0,,,,,,,,
92050,NONE,Indoor exercise room,YES,YES,YES,YES,NO,Not Available,4.0,18.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SIDE OF THE BUILDING,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,,M4N,,YES,AKELIUS CANADA LTD,PRIVATE,SIFE OF THE BUILDING,4153863.0,NO,YES,NO,2875  YONGE ST ,NO,NO,,,UNAVAILABLE,15,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92051,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,5.0,110.0,"AUG 16, 2015",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,ORIGINAL,1990.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2.0,6.0,2.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4N,,YES,,TCHC,,4153867.0,NO,NO,NO,3179  YONGE ST ,YES,YES,1990.0,YES,BOTH,15,DOUBLE PANE,1990.0,,2017.0,,,,,,,,
92052,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,30.0,,,,,,,,NO,Unknown,YES,NO,,REPLACED,1985.0,HOT WATER,NO,YES,NO,NO,YES,24/7,FIRST FLOOR,YES,0.0,0.0,0.0,4.0,YES,YES,Surface Parking,M4N,NONE,YES,,PRIVATE,,4153872.0,NO,YES,NO,6  GLEN ECHO RD ,YES,YES,1960.0,,UNAVAILABLE,15,DOUBLE PANE,1952.0,,2017.0,,,,,,,,
92053,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,13.0,118.0,"APR 1, 2016",,,,COMPLETE MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,EXTERIOR REAR OF BUILDING,REPLACED,2015.0,HOT WATER,NO,YES,NO,YES,YES,7AM-10PM,BASEMENT LEVEL,YES,0.0,0.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4V,,NO,WESTDALE PROPERTIES,PRIVATE,EXTERIOR REAR OF BUILDING,4153886.0,NO,NO,NO,494  AVENUE RD ,YES,YES,1956.0,YES,PAID,12,DOUBLE PANE,1956.0,2008.0,2017.0,,,,,,,,
92054,CENTRAL AIR,,YES,NO,YES,NO,NO,10 indoor parking spots and 0 outdoor parking spots,5.0,79.0,"JAN 5, 2016",,,,MODERNIZATION PROCESS,REPLACED,,NO,Green Bin / Organics,YES,NO,OUTDOORS,REPLACED,2003.0,FORCED AIR GAS,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,87.0,1.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4V,DOGS,NO,NINETY WARREN ROAD APARTMENTS,PRIVATE,,4153888.0,NO,NO,NO,90  WARREN RD ,YES,YES,1968.0,YES,UNAVAILABLE,12,DOUBLE PANE,1963.0,2007.0,2017.0,,,,,,,,
92055,NONE,Indoor recreation room,YES,YES,YES,YES,NO,Not Available,5.0,37.0,,,,,,,YES,YES,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1980.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1.0,5.0,1.0,15.0,YES,YES,Surface Parking,M6G,,YES,,TCHC,REAR OF BUILDING,4153335.0,NO,NO,NO,470  MELITA CRES ,NO,,,,BOTH,12,DOUBLE PANE,1980.0,,2017.0,,,,,,,,
92056,NONE,,YES,YES,YES,YES,NO,7 indoor parking spots and 8 outdoor parking spots,3.0,18.0,,,,,,,,NO,Green Bin / Organics,YES,NO,,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,"24 HOURS A DAY, 7 DAYS A WEEK",,NO,0.0,0.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M8V,,NO,"ATLANTIS REALTY SERVICES, INC.",PRIVATE,,4155518.0,NO,YES,NO,67  LAKE SHORE DR ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92057,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,46.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,OUTSIDE SIDE DOOR OF BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT LEVEL,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M8V,,NO,,PRIVATE,OUTSIDE SIDE DOOR OF BUILDING,4155537.0,NO,YES,NO,95  TWENTY FIFTH ST ,NO,,,,FREE,3,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
92058,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,40.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,,REPLACED,2015.0,HOT WATER,NO,YES,YES,YES,YES,7:00 AM - 11 PM,BASEMENT,NO,0.0,0.0,0.0,8.0,NO,YES,Surface Parking,M8W,,YES,,SOCIAL HOUSING,,4156442.0,NO,YES,NO,5  FORTY THIRD ST ,YES,YES,1953.0,,FREE,3,DOUBLE PANE,1953.0,,2017.0,,,,,,,,
92059,NONE,,YES,YES,YES,YES,YES,Not Available,11.0,198.0,"DEC 12, 2016",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1967.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,3.0,4.0,2.0,12.0,YES,YES,Surface Parking,M4A,,YES,TCH,TCHC,COMPACTOR ROOM,4156483.0,NO,NO,NO,5  WAKUNDA PL ,YES,YES,1967.0,YES,PAID,19,DOUBLE PANE,1967.0,1993.0,2017.0,,,,,,,,
92060,NONE,,YES,YES,YES,YES,NO,Not Available,20.0,129.0,"MAR 14, 2013",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1973.0,ELECTRIC,YES,YES,NO,YES,YES,24 HOURS,FLOOR B1,YES,0.0,0.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,,YES,,PRIVATE,,4153800.0,NO,NO,NO,101  ROEHAMPTON AVE ,YES,YES,1973.0,YES,FREE,12,DOUBLE PANE,1973.0,,2017.0,,,,,,,,
92061,NONE,,YES,NO,NO,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDENEXT TO PARKING GARAGE,ORIGINAL,2010.0,HOT WATER,NO,YES,NO,NO,YES,9AM-9PM,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M6A,,NO,FALCONWIN PROPERTY MNG,PRIVATE,OUTSIDE NEXT TO PARKING GARAGE,4154536.0,NO,YES,NO,110  RAJAH ST ,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
92062,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,36.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2015.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT LEVEL,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M6A,,NO,WESTDALE PROPERTIES,PRIVATE,EXTERIOR OF BUILDING,4154555.0,NO,YES,NO,46  SARANAC BLVD ,NO,,,,PAID,8,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92063,NONE,,YES,YES,YES,YES,YES,Not Available,10.0,129.0,"MAY 5, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,UNDERGROUND GARAGE,REPLACED,2012.0,HOT WATER,YES,YES,NO,YES,YES,8:00 A.M. TO 11:00 P.M.,BASEMENT,YES,0.0,15.0,2.0,10.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6E,NONE,YES,R A B PROPERTIES LIMITED,PRIVATE,UNDERGROUND GARAGE,4155034.0,NO,YES,NO,640  LAUDER AVE ,YES,YES,1965.0,YES,FREE,12,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
92064,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,24.0,,,,,,,,NO,Unknown,YES,NO,,REPLACED,2012.0,HOT WATER,NO,NO,NO,NO,YES,ALL THE TIME,BASEMENT,NO,0.0,2.0,0.0,2.0,NO,NO,Surface Parking,M6E,,YES,,PRIVATE,,4155036.0,NO,NO,NO,560  OAKWOOD AVE ,NO,,,,FREE,12,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92065,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,34.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,OUTDOORS,REPLACED,2013.0,ELECTRIC,NO,YES,NO,YES,YES,7:00 A.M TO 10:00 P.M,1ST FLOOR,YES,0.0,7.0,0.0,4.0,YES,YES,Surface Parking,M6E,,NO,HALLPINE INVESTMENTS INC.,PRIVATE,OUTDOORS,4155041.0,NO,NO,NO,1490  EGLINTON AVE W,NO,,,,FREE,8,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
92066,INDIVIDUAL UNITS,,YES,NO,YES,NO,NO,Not Available,4.0,44.0,,,,,,,,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,ALL HOURS,FIRST FLOOR,YES,0.0,0.0,0.0,2.0,YES,YES,Surface Parking,M6B,,YES,,PRIVATE,REAR OF BUILDING,4155055.0,NO,NO,NO,1040  CASTLEFIELD AVE ,YES,YES,1959.0,,FREE,8,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
92067,NONE,Outdoor pool,YES,YES,YES,YES,NO,Not Available,7.0,118.0,"JUN 16, 2017",,,,RETROFIT,REPLACED,,NO,Green Bin / Organics,YES,YES,OUTDOOR,REPLACED,2012.0,HOT WATER,YES,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,2.0,2.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M8W,NONE ALLOWED,NO,COMPTEN MANAGEMENT INC.,PRIVATE,OUTDOOR,4155551.0,NO,YES,NO,240  LAKE PROMENADE  ,YES,YES,1963.0,NO,PAID,3,DOUBLE PANE,1963.0,2011.0,2017.0,,,,,,,,
92068,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 14 outdoor parking spots,7.0,81.0,"JAN 9, 2014",,,,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2004.0,HOT WATER,NO,YES,NO,NO,YES,ALL HOURS,B1 LEVEL,YES,0.0,2.0,2.0,10.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M8V,MUST BE LICENSED,YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,IN GARBAGE ENCLOSURE,4155560.0,NO,YES,NO,6  TWENTY FOURTH ST ,YES,YES,2017.0,YES,FREE,3,DOUBLE PANE,1968.0,2017.0,2017.0,,,,,,,,
92069,NONE,"Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",YES,YES,YES,YES,YES,Not Available,18.0,421.0,"APR 12, 2017",,,,ELEVATORS UPGRADED,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1972.0,HOT WATER,YES,YES,YES,YES,YES,TBD,TBD,YES,1.0,10.0,3.0,1.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1K,,YES,,TCHC,BESIDE GARBAGE,4155573.0,NO,NO,NO,40  GORDONRIDGE PL ,YES,YES,1972.0,YES,BOTH,20,DOUBLE PANE,1972.0,2016.0,2017.0,,,,,,,,
92070,CENTRAL AIR,Indoor recreation room,YES,YES,YES,YES,YES,10 indoor parking spots and 10 outdoor parking spots,10.0,240.0,"AUG 8, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,UNDRGROUND,ORIGINAL,2012.0,FORCED AIR GAS,YES,YES,YES,YES,YES,7 A.M. -11 P.M.,UNDERGROUND,YES,0.0,9.0,3.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg",,1,YES,MYRIAD PROPERTY MANAGEMENT,PRIVATE,UNDRGROUND,4156561.0,NO,NO,NO,485  PATRICIA AVE ,YES,YES,2012.0,YES,FREE,18,DOUBLE PANE,2012.0,,2017.0,,,,,,,,
92071,INDIVIDUAL UNITS,Indoor exercise room,YES,YES,YES,YES,NO,30 indoor parking spots and 30 outdoor parking spots,19.0,335.0,"APR 15, 2017",,MAIN FLOOR,,INTERIOR,REPLACED,,YES,Green Bin / Organics,YES,YES,OUTDOORS,ORIGINAL,1968.0,HOT WATER,NO,YES,NO,NO,YES,7AM - 11PM,MAIN FLOOR,YES,0.0,4.0,3.0,32.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4156565.0,NO,YES,YES,15  HARDING AVE ,YES,YES,1968.0,YES,BOTH,5,DOUBLE PANE,1968.0,2008.0,2017.0,,,,,,,,
92072,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 8 outdoor parking spots,3.0,16.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,BACK OF BUILDING,ORIGINAL,1970.0,FORCED AIR GAS,NO,YES,NO,YES,YES,24HRS,BASEMENT,NO,0.0,0.0,0.0,2.0,YES,YES,Surface Parking,M4L,,YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,BACK OF BUILDING,4156594.0,NO,YES,NO,10  KINGSTON RD ,YES,YES,1970.0,,UNAVAILABLE,19,SINGLE PANE,1970.0,,2017.0,,,,,,,,
92073,CENTRAL AIR,"Indoor recreation room , Child play area",YES,YES,YES,YES,YES,40 indoor parking spots and 60 outdoor parking spots,18.0,190.0,"JUN 21, 2017",,,,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,BEHIND THE BUILDING,ORIGINAL,2011.0,FORCED AIR GAS,NO,YES,YES,YES,YES,24 HOURS,MAIN FLOOR,NO,4.0,2.0,3.0,6.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Parking Deck",M6J,,YES,,SOCIAL HOUSING,BEHIND THE BUILDING,4156598.0,NO,YES,NO,180  SUDBURY ST ,YES,YES,2011.0,YES,PAID,9,DOUBLE PANE,2011.0,,2017.0,,,,,,,,
92074,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,22.0,,,,,,,,NO,Green Bin / Organics,YES,NO,NORTH SIDE OF BUILDING,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,24HR,BASEMENT,YES,0.0,12.0,0.0,2.0,NO,YES,Ground Level Garage,M4G,NO LIONS ,YES,,PRIVATE,NORTH SIDE OF BUILDING,4154199.0,NO,YES,NO,904  EGLINTON AVE E,NO,,,,UNAVAILABLE,15,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92075,NONE,Outdoor pool,NO,NO,YES,YES,YES,Not Available,12.0,83.0,"JUL 5, 2014",,,,,REPLACED,,NO,Green Bin / Organics,YES,YES,GARBAGE AREA,REPLACED,1982.0,HOT WATER,NO,YES,NO,NO,YES,8A-9:30P,BASEMENT,YES,0.0,0.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3H,25 POUNDS OR LESS,YES,,PRIVATE,GARBAGE AREA,4154696.0,NO,YES,NO,535  SHEPPARD AVE W,YES,NO,1965.0,YES,BOTH,6,DOUBLE PANE,1965.0,1999.0,2017.0,,,,,,,,
92076,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,14.0,301.0,"FEB 9, 2017",,,,,REPLACED,YES,NO,Unknown,YES,YES,,ORIGINAL,1980.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,4.0,4.0,2.0,12.0,YES,YES,Surface Parking,M3H,,YES,,TCHC,,4154700.0,NO,NO,NO,4455  BATHURST ST ,YES,YES,1980.0,YES,BOTH,6,DOUBLE PANE,1980.0,2005.0,2017.0,,,,,,,,
92077,CENTRAL AIR,,YES,YES,YES,YES,YES,20 indoor parking spots and 10 outdoor parking spots,6.0,81.0,"FEB 26, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,MOVING ROOM,ORIGINAL,1996.0,FORCED AIR GAS,NO,YES,YES,YES,YES,8 AM TO 10 PM,ON THE GROUND FLOOR,NO,1.0,3.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M2M,,YES,,SOCIAL HOUSING,,4154715.0,NO,NO,NO,33  DREWRY AVE ,YES,YES,1996.0,YES,FREE,18,SINGLE PANE,1996.0,,2017.0,,,,,,,,
92078,,,,,,,, indoor parking spots and  outdoor parking spots,4.0,25.0,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,0.0,,,,,M6S,,,,PRIVATE,,4155207.0,,,,585  JANE ST ,,,,,,4,DOUBLE PANE,1955.0,,,,,,,,,,
92079,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,21.0,,,,,,,,NO,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,"24 HOURS, 7 DAYS A WEEK",MAIN FLOOR,NO,0.0,0.0,0.0,15.0,NO,YES,"Ground Level Garage , Surface Parking",M8X,,YES,ORCHARD APARTMENTS (BLOOR) INC,PRIVATE,SIDE OF BUILDING,4155208.0,NO,YES,NO,2684  BLOOR ST W,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1949.0,,2017.0,,,,,,,,
92080,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,25.0,"AUG 15, 2015",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,OUTSIDE NEAR PARKING AREA,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,1.0,4.0,NO,YES,"Underground Garage , Ground Level Garage , Surface Parking",M8Y,,YES,,PRIVATE,OUTSIDE NEAR PARKING AREA,4155227.0,NO,YES,NO,301  PARK LAWN RD ,NO,,,YES,UNAVAILABLE,3,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
92081,CENTRAL AIR,,YES,YES,YES,NO,YES,Not Available,5.0,84.0,"JUN 18, 2020",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,2005.0,HOT WATER,YES,YES,NO,YES,YES,9AM TO 9PM,6TH FLOOR,NO,0.0,0.0,2.0,12.0,NO,NO,,M5V,AS PER CITY BY-LAW,YES,EVANGEL HALL MISSION,SOCIAL HOUSING,OUTDOOR,4155766.0,NO,NO,NO,552  ADELAIDE ST W,YES,YES,2005.0,YES,UNAVAILABLE,10,DOUBLE PANE,2005.0,,2017.0,,,,,,,,
